HexID	DateTime	Latitude	Longitude	Altitude
AB0DC5	2019/07/12 02:05:16.297	19.99928	-155.17590	9600
AB0DC5	2019/07/12 02:05:17.313	19.99956	-155.17688	9600
AB0DC5	2019/07/12 02:05:19.241	20.00005	-155.17879	9600
AB0DC5	2019/07/12 02:05:27.707	20.00226	-155.18728	9700
AB0DC5	2019/07/12 02:05:28.651	20.00247	-155.18818	9700
AB0DC5	2019/07/12 02:05:29.795	20.00280	-155.18938	9700
AB0DC5	2019/07/12 02:05:30.867	20.00308	-155.19037	9700
AB0DC5	2019/07/12 02:05:31.859	20.00331	-155.19137	9700
AB0DC5	2019/07/12 02:05:32.883	20.00359	-155.19237	9800
AB0DC5	2019/07/12 02:05:34.012	20.00387	-155.19357	9800
AB0DC5	2019/07/12 02:05:35.148	20.00418	-155.19469	9800
AB0DC5	2019/07/12 02:05:36.124	20.00441	-155.19572	9800
AB0DC5	2019/07/12 02:05:37.204	20.00471	-155.19682	9800
AB0DC5	2019/07/12 02:05:38.236	20.00499	-155.19781	9800
AB0DC5	2019/07/12 02:05:39.245	20.00522	-155.19881	9800
AB0DC5	2019/07/12 02:05:40.189	20.00550	-155.19986	9900
AB0DC5	2019/07/12 02:05:41.117	20.00574	-155.20077	9900
AB0DC5	2019/07/12 02:05:42.061	20.00596	-155.20166	9900
AB0DC5	2019/07/12 02:05:43.061	20.00620	-155.20266	9900
AB0DC5	2019/07/12 02:05:44.069	20.00648	-155.20371	9900
AB0DC5	2019/07/12 02:05:45.157	20.00674	-155.20479	9900
AB0DC5	2019/07/12 02:05:46.158	20.00703	-155.20595	9900
AB0DC5	2019/07/12 02:05:47.134	20.00731	-155.20695	9900
AB0DC5	2019/07/12 02:05:48.094	20.00755	-155.20795	9900
AB0DC5	2019/07/12 02:05:49.062	20.00780	-155.20886	9900
AB0DC5	2019/07/12 02:05:49.894	20.00801	-155.20980	10000
AB0DC5	2019/07/12 02:05:51.927	20.00852	-155.21185	10000
AB0DC5	2019/07/12 02:05:53.735	20.00899	-155.21370	10000
AB0DC5	2019/07/12 02:05:54.679	20.00926	-155.21460	10000
AB0DC5	2019/07/12 02:05:55.791	20.00955	-155.21574	10000
AB0DC5	2019/07/12 02:05:56.775	20.00978	-155.21674	10000
AB0DC5	2019/07/12 02:05:58.776	20.01029	-155.21879	10100
AB0DC5	2019/07/12 02:06:00.752	20.01085	-155.22084	10100
AB0DC5	2019/07/12 02:06:01.824	20.01114	-155.22196	10100
AB0DC5	2019/07/12 02:06:02.800	20.01137	-155.22299	10100
AB0DC5	2019/07/12 02:06:03.672	20.01160	-155.22382	10100
AB0DC5	2019/07/12 02:06:04.593	20.01183	-155.22473	10200
AB0DC5	2019/07/12 02:06:05.769	20.01216	-155.22593	10200
AB0DC5	2019/07/12 02:06:07.697	20.01265	-155.22784	10200
AB0DC5	2019/07/12 02:06:08.657	20.01292	-155.22887	10200
AB0DC5	2019/07/12 02:06:09.657	20.01315	-155.22990	10300
AB0DC5	2019/07/12 02:06:10.594	20.01341	-155.23077	10300
AB0DC5	2019/07/12 02:06:11.626	20.01370	-155.23186	10300
AB0DC5	2019/07/12 02:06:12.650	20.01393	-155.23289	10300
AB0DC5	2019/07/12 02:06:13.626	20.01421	-155.23387	10300
AB0DC5	2019/07/12 02:06:14.690	20.01448	-155.23490	10400
AB0DC5	2019/07/12 02:06:44.991	20.02249	-155.26503	10700
AB0DC5	2019/07/12 02:06:46.904	20.02309	-155.26693	10800
AB0DC5	2019/07/12 02:06:54.345	20.02603	-155.27407	10900
AB0DC5	2019/07/12 02:06:55.353	20.02645	-155.27502	10900
AB0DC5	2019/07/12 02:06:56.441	20.02693	-155.27605	10900
AB0DC5	2019/07/12 02:06:57.505	20.02739	-155.27699	10900
AB0DC5	2019/07/12 02:06:58.433	20.02780	-155.27787	10900
AB0DC5	2019/07/12 02:06:59.866	20.02844	-155.27919	10900
AB0DC5	2019/07/12 02:07:00.466	20.02867	-155.27973	11000
AB0DC5	2019/07/12 02:07:01.586	20.02915	-155.28076	11000
AB0DC5	2019/07/12 02:07:02.498	20.02954	-155.28160	11000
AB0DC5	2019/07/12 02:07:03.098	20.02982	-155.28214	11000
AB0DC5	2019/07/12 02:07:03.562	20.03003	-155.28261	11000
AB0DC5	2019/07/12 02:07:04.490	20.03041	-155.28346	11000
AB0DC5	2019/07/12 02:07:05.643	20.03091	-155.28459	11000
AB0DC5	2019/07/12 02:07:07.595	20.03171	-155.28635	11000
AB0DC5	2019/07/12 02:07:08.051	20.03192	-155.28684	11100
AB0DC5	2019/07/12 02:07:08.587	20.03213	-155.28730	11100
AB0DC5	2019/07/12 02:07:09.627	20.03261	-155.28831	11100
AB0DC5	2019/07/12 02:07:10.571	20.03296	-155.28915	11100
AB0DC5	2019/07/12 02:07:11.468	20.03334	-155.29003	11100
AB0DC5	2019/07/12 02:07:29.711	20.04062	-155.30725	11300
AB0DC5	2019/07/12 02:07:33.575	20.04213	-155.31097	11400
AB0DC5	2019/07/12 02:07:34.583	20.04255	-155.31192	11400
AB0DC5	2019/07/12 02:07:35.616	20.04293	-155.31287	11400
AB0DC5	2019/07/12 02:07:36.640	20.04337	-155.31392	11400
AB0DC5	2019/07/12 02:07:37.488	20.04369	-155.31465	11400
AB0DC5	2019/07/12 02:07:37.928	20.04382	-155.31504	11400
AB0DC5	2019/07/12 02:07:38.424	20.04400	-155.31552	11400
AB0DC5	2019/07/12 02:07:39.576	20.04446	-155.31662	11500
AB0DC5	2019/07/12 02:07:40.080	20.04465	-155.31710	11500
AB0DC5	2019/07/12 02:07:40.560	20.04483	-155.31757	11500
AB0DC5	2019/07/12 02:07:41.481	20.04520	-155.31843	11500
AB0DC5	2019/07/12 02:07:41.977	20.04539	-155.31891	11500
AB0DC5	2019/07/12 02:07:42.497	20.04556	-155.31936	11500
AB0DC5	2019/07/12 02:07:43.057	20.04579	-155.31995	11500
AB0DC5	2019/07/12 02:07:43.521	20.04597	-155.32034	11500
AB0DC5	2019/07/12 02:07:43.953	20.04614	-155.32081	11500
AB0DC5	2019/07/12 02:07:44.481	20.04634	-155.32127	11500
AB0DC5	2019/07/12 02:07:45.033	20.04656	-155.32176	11500
AB0DC5	2019/07/12 02:07:45.505	20.04675	-155.32221	11500
AB0DC5	2019/07/12 02:07:46.529	20.04712	-155.32319	11600
AB0DC5	2019/07/12 02:07:46.937	20.04726	-155.32353	11600
AB0DC5	2019/07/12 02:07:47.369	20.04744	-155.32401	11600
AB0DC5	2019/07/12 02:07:47.882	20.04767	-155.32446	11600
AB0DC5	2019/07/12 02:07:48.306	20.04781	-155.32485	11600
AB0DC5	2019/07/12 02:07:48.794	20.04800	-155.32536	11600
AB0DC5	2019/07/12 02:07:49.202	20.04814	-155.32571	11600
AB0DC5	2019/07/12 02:07:49.802	20.04837	-155.32631	11600
AB0DC5	2019/07/12 02:07:50.370	20.04861	-155.32685	11600
AB0DC5	2019/07/12 02:07:51.442	20.04898	-155.32780	11600
AB0DC5	2019/07/12 02:07:52.378	20.04935	-155.32875	11600
AB0DC5	2019/07/12 02:07:53.474	20.04977	-155.32981	11600
AB0DC5	2019/07/12 02:07:54.563	20.05019	-155.33085	11600
AB0DC5	2019/07/12 02:07:55.523	20.05055	-155.33172	11700
AB0DC5	2019/07/12 02:07:56.667	20.05101	-155.33285	11700
AB0DC5	2019/07/12 02:07:57.531	20.05133	-155.33358	11700
AB0DC5	2019/07/12 02:07:58.651	20.05179	-155.33476	11700
